date,year,month,day,weekday,title,hindu_month,tithi
1900-01-01,1900,1,1,Monday,Somavati Amavasya,Pausha,Krishna Amavasya
1900-01-11,1900,1,11,Thursday,Pausha Putrada Ekadashi,Pausha,Shukla Ekadashi
1900-01-13,1900,1,13,Saturday,Makara Sankranti,Pausha,Dhanu to Makara transit of Sun
1900-01-13,1900,1,13,Saturday,Pongal,Pausha,on Makara Sankranti day
1900-01-13,1900,1,13,Saturday,Ardha Kumbha @Prayagraj,Pausha,Makara Surya and Vrishchika Guru
1900-01-15,1900,1,15,Monday,Pausha Purnima,Pausha,Shukla Purnima
1900-01-19,1900,1,19,Friday,Sakat Chauth,Magha,Krishna Chaturthi
1900-01-27,1900,1,27,Saturday,Shattila Ekadashi,Magha,Krishna Ekadashi
1900-01-30,1900,1,30,Tuesday,Mauni Amavas,Magha,Krishna Amavasya
1900-02-04,1900,2,4,Sunday,Vasant Panchami,Magha,Shukla Panchami
1900-02-06,1900,2,6,Tuesday,Ratha Saptami,Magha,Shukla Saptami
1900-02-06,1900,2,6,Tuesday,Bhishma Ashtami,Magha,Shukla Ashtami
1900-02-10,1900,2,10,Saturday,Jaya Ekadashi,Magha,Shukla Ekadashi
1900-02-11,1900,2,11,Sunday,Kumbha Sankranti,Magha,Makara to Kumbha transit of Sun
1900-02-11,1900,2,11,Sunday,Ardha Kumbha ends @Prayagraj,Magha,Makara Surya and Vrishchika Guru
1900-02-14,1900,2,14,Wednesday,Magha Purnima,Magha,Shukla Purnima
1900-02-25,1900,2,25,Sunday,Vijaya Ekadashi,Phalguna,Krishna Ekadashi
1900-02-26,1900,2,26,Monday,Gauna Vijaya Ekadashi,Phalguna,Krishna Ekadashi
1900-02-27,1900,2,27,Tuesday,Maha Shivaratri,Phalguna,Krishna Chaturdashi
1900-03-11,1900,3,11,Sunday,Amalaki Ekadashi,Phalguna,Shukla Ekadashi
1900-03-13,1900,3,13,Tuesday,Meena Sankranti,Phalguna,Kumbha to Meena transit of Sun
1900-03-15,1900,3,15,Thursday,Chhoti Holi,Phalguna,Shukla Purnima
1900-03-15,1900,3,15,Thursday,Holika Dahan,Phalguna,Shukla Purnima
1900-03-16,1900,3,16,Friday,Holi,Chaitra,Krishna Pratipada
1900-03-16,1900,3,16,Friday,Phalguna Purnima,Phalguna,Shukla Purnima
1900-03-24,1900,3,24,Saturday,Basoda,Chaitra,Krishna Ashtami
1900-03-24,1900,3,24,Saturday,Sheetala Ashtami,Chaitra,Krishna Ashtami
1900-03-27,1900,3,27,Tuesday,Papamochani Ekadashi,Chaitra,Krishna Ekadashi
1900-03-31,1900,3,31,Saturday,Nutan Varsh Prarambha,Chaitra,Shukla Pratipada
1900-03-31,1900,3,31,Saturday,Ugadi,Chaitra,Shukla Pratipada
1900-03-31,1900,3,31,Saturday,Gudi Padwa,Chaitra,Shukla Pratipada
1900-03-31,1900,3,31,Saturday,Chaitra Navratri,Chaitra,Shukla Pratipada
1900-04-02,1900,4,2,Monday,Gauri Puja,Chaitra,Shukla Tritiya
1900-04-02,1900,4,2,Monday,Gangaur,Chaitra,Shukla Tritiya
1900-04-05,1900,4,5,Thursday,Yamuna Chhath,Chaitra,Shukla Shashthi
1900-04-08,1900,4,8,Sunday,Rama Navami,Chaitra,Shukla Navami
1900-04-08,1900,4,8,Sunday,Swaminarayan Jayanti,Chaitra,Shukla Navami
1900-04-10,1900,4,10,Tuesday,Kamada Ekadashi,Chaitra,Shukla Ekadashi
1900-04-13,1900,4,13,Friday,Solar New Year,Chaitra,first day of Hindu Solar calendar
1900-04-13,1900,4,13,Friday,Mesha Sankranti,Chaitra,Meena to Mesha transit of Sun
1900-04-14,1900,4,14,Saturday,Hanuman Jayanti,Chaitra,Shukla Purnima
1900-04-14,1900,4,14,Saturday,Hanuman Janmotsava,Chaitra,Shukla Purnima
1900-04-14,1900,4,14,Saturday,Chaitra Purnima,Chaitra,Shukla Purnima
1900-04-25,1900,4,25,Wednesday,Varuthini Ekadashi,Vaishakha,Krishna Ekadashi
1900-05-01,1900,5,1,Tuesday,Parashurama Jayanti,Vaishakha,Shukla Tritiya
